Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,110729035,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10008709,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,64606,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1655,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,22179841,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,391981,,,4
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,64939,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,29367,,,4
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,114425,,,4
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,90,Solomon Isds,SLB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,523511,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,90,Solomon Isds,SLB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,17123,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,117805,,,4
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,61998,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,34726,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,46583,,,0
H4,2015,2015,2015,0,0,1,Import,296,Kiribati,KIR,140,Central African Rep.,CAF,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10366,,,4
H4,2015,2015,2015,0,0,2,Export,296,Kiribati,KIR,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,149149,,,0
