Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11874755636,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11529254971,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11945709,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1581967,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,75000,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,57806,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,302308,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,29270464,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,383182,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,299214,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,191882,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8136,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,128850,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26277224,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,212561604,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,66,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,40502843,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,64091,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,64091,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1720,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,14825698,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8861,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,34611553,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8064361,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,236645,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,48,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,35240495,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,950985,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,64,Bhutan,BTN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,9016,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,78063,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2174184,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,74,Bouvet Island,BVT,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,20989,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,111918536,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,126151,,,0
H3,2010,2010,2010,0,0,3,Re-Export,736,Fmr Sudan,SDN,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,102151,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,84,Belize,BLZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,106308,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,90,Solomon Isds,SLB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,497804,,,0
H3,2010,2010,2010,0,0,1,Import,736,Fmr Sudan,SDN,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,154594,,,0
H3,2010,2010,2010,0,0,2,Export,736,Fmr Sudan,SDN,92,Br. Virgin Isds,VGB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,190000,,,0
